Complex ac	Recommended name
CPX-7967	SCF E3 ubiquitin ligase complex, FBXO28 variant
CPX-6	bZIP transcription factor complex, Atf4-Creb1
CPX-594	Nuclear exosome complex, Dis3-Exosc10 variant
CPX-8004	Non-canonical FBXO45-MYCBP2-SKP1 E3 ubiquitin ligase complex
CPX-1543	SCF(TIR1) ubiquitin ligase complex, variant CUL1-RBX1B-ASK9
CPX-458	Beta-catenin destruction core complex, Apc2-Axin2-Gsk3a variant
CPX-828	RTG transcription factor complex
CPX-2096	Mitochondrial DNA polymerase gamma complex
CPX-2214	LRR1-Elongin C-Elongin B E3 ubiquitin ligase complex
CPX-304	MCL1:PMAIP1 complex
CPX-495	uPA-PAI-1 complex
CPX-503	mTORC1 complex
CPX-462	Nuclear export complex FRAT2-GSK3B
CPX-1959	HU complex, variant hupA
CPX-1627	RAVE complex
CPX-8173	PSMG1-PSMG2 proteasomal chaperone complex
CPX-8073	SEC61 protein-conducting channel complex, SEC1A1 variant
CPX-5857	AMPK complex, alpha2-beta1-gamma3 variant
CPX-3002	Collagen type XIX trimer
CPX-289	NMDA receptor complex, GluN1-GluN2D
CPX-1945	Regulatory inactivation of dnaA (RIDA) complex
CPX-6482	Alpha-beta T cell receptor complex, TRBC2 variant
CPX-2553	SCF E3 ubiquitin ligase complex, FBXL18 variant
CPX-5869	Keratin-25 - Keratin-71 dimer complex
CPX-2435	mRNA nuclear export factor NXF1-NXT2
CPX-3284	Nucleolar ribonuclease MRP complex
CPX-1499	SCF(COI1) ubiquitin ligase complex, variant CUL2-RBX1B-ASK8
CPX-2140	iscS-thiI sulfurtransferase complex
CPX-2141	iscS-iscU iron-sulfur cluster assembly complex
CPX-163	PPP4C-PPP4R2 protein phosphatase 4 complex
CPX-7529	Polycomb repressive complex 1, RING2-PCGF2-CBX6-PHC3 variant
CPX-2733	miRNA RISC complex
CPX-2861	ALKBH8-TRM112 methyltransferase complex
CPX-1834	SSH1 translocon complex
CPX-312	Amiloride-sensitive sodium channel complex, delta-alpha-beta-gamma
CPX-5262	60S cytosolic large ribosomal subunit
CPX-2416	CRL4-DCAF17 E3 ubiquitin ligase complex, CUL4B variant 
CPX-7843	Retromer complex, VPS26B variant
CPX-3463	Central spindlin complex
CPX-2896	[Cu-Zn] Superoxide dismutase complex
CPX-2378	Myb-MuvB transcriptional activation complex
CPX-1008	Calcineurin-Calmodulin complex, beta-R2 variant
CPX-3148	Adrenomedullin receptor AM2 complex
CPX-6006	Interferon alpha receptor-ligand complex, IFNA21 variant
CPX-451	Multimerin-2 complex
CPX-610	AP-1 transcription factor complex FOS-JUN-NFATC2
CPX-7108	bZIP transcription factor complex, BATF3-DBP
CPX-1846	Histone H2A phosphatase complex
CPX-7786	SCF E3 ubiquitin ligase complex, FBXW10 variant
CPX-1174	WASH complex, variant WASH3P/WASHC2A
CPX-1740	Mannosyl phosphorylinositol ceramide synthase CSH1-CSG2
CPX-6263	Fanconi anemia ubiquitin ligase complex
CPX-3946	Mitotic Checkpoint Complex
CPX-5628	Type I restriction-modification EcoKI complex
CPX-4750	TRAPP III complex, TRAPPC2 variant
CPX-2720	bZIP transcription factor complex, BACH1-BACH1
CPX-1322	RAD53-ASF1 complex
CPX-421	EMILIN-1 complex
