DiseaseID	DiseaseName
DOID:0060825	Christianson syndrome
MESH:C536595	Alzheimer disease type 2
MESH:D046248	Pyloric Stenosis, Hypertrophic
MESH:C563907	Sick Sinus Syndrome 1, Autosomal Recessive
DOID:0050953	X-linked hereditary ataxia
MESH:D017544	Aortic Aneurysm, Abdominal
MESH:C567296	Hypercarotenemia And Vitamin A Deficiency, Autosomal Dominant
MESH:C566614	Autoimmune Lymphoproliferative Syndrome, Type IB
MESH:D004066	Digestive System Diseases
DOID:0110640	Congenital muscular dystrophy due to LMNA mutation
DOID:0111153	Congenital mirror movement disorder
DOID:0080552	Congenital disorder of glycosylation Ia
MESH:C564505	Epilepsy, X-Linked, with Variable Learning Disabilities and Behavior Disorders
DOID:0060032	Autoimmune disease of musculoskeletal system
DOID:9169	Wiskott-Aldrich syndrome
ICD10:H521	Myopia  unspecified eye
ICD10:C73	Malignant neoplasm of thyroid gland
DOID:6688	Autoimmune lymphoproliferative syndrome
MESH:D055728	Primary Myelofibrosis
MESH:D017492	Keratosis, Seborrheic
DOID:0050477	Liddle syndrome
MESH:D012135	Respiratory Sounds
ICD10:M352	Behcet's disease
DOID:0081044	Frontonasal dysplasia
DOID:5222	Acute necrotizing encephalitis
MESH:D002609	Chediak-Higashi Syndrome
MESH:C535499	Epilepsy, rolandic with paroxysmal exercise-induced dystonia and writer's cramp
MESH:D005909	Glioblastoma
ICD10:N25	Renal osteodystrophy
MESH:D001763	Blepharoptosis
DOID:0080559	Congenital disorder of glycosylation Ig
MESH:D018191	Lymphangioma, Cystic
DOID:0060610	megacystis-microcolon-intestinal hypoperistalsis syndrome
DOID:13268	Porphyria
DOID:2581	Chondrodysplasia punctata
DOID:0111785	Frontometaphyseal dysplasia
MESH:C564272	Deafness, Autosomal Dominant 41
MESH:C537180	Familial paroxysmal dystonia
DOID:0110737	Neurodegeneration with brain iron accumulation 3
MESH:C567861	Glycogen Storage Disease XIII
MESH:C566619	Exudative Vitreoretinopathy 4
MESH:C537742	Odontoonychodermal dysplasia
MESH:D003103	Coloboma
MESH:C536311	Patterson Stevenson syndrome
MESH:C563755	Li-Fraumeni Syndrome 2
MESH:C567782	Amyloidosis, Hereditary, Transthyretin-Related
DOID:680	Tauopathy
DOID:0111827	X-linked spinal muscular atrophy 2
DOID:0111535	Progressive osseous heteroplasia
MESH:D015831	Osteochondroma
MESH:C563843	Orofacial Cleft 5
