domainID	domainName
pfam18044	zinc finger CCCH domain-containing protein
pfam08997	cytochrome b-c1 complex subunit 10
cd04188	bifunctional glycosyltransferase family 2/GtrA family protein
PRK11251	osmotically-inducible lipoprotein OsmE
COG4051	methanogenesis marker 17 protein
TIGR01580	nitrate reductase subunit alpha
COG3264	mechanosensitive ion channel family protein
PRK15289	fimbrial protein
PRK10079	phosphonate metabolism transcriptional regulator PhnF
PLN02906	xanthine dehydrogenase family
pfam04024	PspC domain-containing protein
TIGR00531	acetyl-CoA carboxylase biotin carboxyl carrier protein
cd00610	aspartate aminotransferase family protein
pfam04424	MINDY family deubiquitinase
smart00333	MutS family DNA mismatch repair protein
pfam08722	heteromeric transposase endonuclease subunit TnsA
MTH00107	NADH-ubiquinone oxidoreductase chain 4L
pfam13355	ARC6/PARC6 family protein
COG0122	DNA-3-methyladenine glycosylase 2
pfam03650	mitochondrial pyruvate carrier family protein
pfam05639	ubiquitin-like protein Pup
cd01134	ATP synthase subunit A
PRK06846	amidohydrolase family protein
pfam17522	YppD family protein
cd08794	interleukin-1 receptor-associated kinase 1
pfam06398	PEX28-32 family peroxisomal membrane protein
TIGR02515	type IV pilus secretin PilQ
PRK11387	S-methylmethionine permease
TIGR03420	DnaA regulatory inactivator Hda
pfam00908	bifunctional dTDP-4-dehydrorhamnose 3,5-epimerase family protein/NAD(P)-dependent oxidoreductase
PRK12287	AI-2E family transporter
cd01921	peptidylprolyl isomerase
pfam12167	site-specific integrase
pfam10798	biofilm/acid-resistance regulator YmgB/AriR
cd04197	translation initiation factor eIF-2B subunit epsilon
cd09645	type I-E CRISPR-associated protein Cas5/CasD
cd05302	formate dehydrogenase
TIGR02120	type II secretion system protein GspF
PRK09177	xanthine phosphoribosyltransferase
cd10492	mothers against decapentaplegic homolog 4 family protein
pfam14179	YppG family protein
cd03406	erlin
pfam13630	SdpI family protein
PLN03072	60S ribosomal protein L12
cd04391	rho GTPase-activating protein
cl19906	Ger(x)C family spore germination protein
pfam03985	RNA polymerase II-associated protein 1
PRK06690	acetyl-CoA C-acyltransferase
cd11534	bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP diphosphatase
cl20483	YfjI family protein
pfam08597	eukaryotic translation initiation factor 3 subunit J
pfam17334	sigma-G-dependent sporulation-specific acid-soluble spore protein CsgA
TIGR00877	phosphoribosylamine--glycine ligase
pfam12650	DUF3784 domain-containing protein
pfam01363	FYVE zinc finger/RING finger protein
smart00966	AbrB/MazE/SpoVT family DNA-binding domain-containing protein
cd17359	sugar porter family MFS transporter
cd01366	kinesin family protein
pfam00262	calreticulin family protein
cd01824	phospholipase B family protein
CHL00154	50S ribosomal protein L29
smart00354	LacI family DNA-binding transcriptional regulator
cd10002	histone deacetylase 6
PRK00092	ribosome maturation factor RimP
cd08959	ADP-ribosylation factor GTPase-activating protein
COG4469	competence protein CoiA
TIGR00906	cationic amino acid transporter
pfam17398	nodulation protein NolB
COG3772	lysozyme
PRK09456	glucose-1-phosphatase
smart00086	hybrid sensor histidine kinase/response regulator
PRK15135	histidine ABC transporter permease HisQ
cd03494	succinate dehydrogenase, hydrophobic membrane anchor protein
cd07521	RNA polymerase II C-terminal domain phosphatase family protein
COG4762	DUF1990 family protein
pfam00328	histidine phosphatase family protein
cd01390	HMG-box domain-containing protein
TIGR00486	Nif3-like dinuclear metal center hexameric protein
PRK08230	L(+)-tartrate dehydratase subunit alpha
COG1875	PhoH family protein
PRK09546	zinc transporter ZntB
pfam00250	forkhead box protein
pfam15469	SEC5 family protein
PRK07226	class I fructose-bisphosphate aldolase family protein
pfam06645	signal peptidase complex subunit 1 family protein
TIGR03075	PQQ-dependent methanol/ethanol family dehydrogenase
cd00715	amidophosphoribosyltransferase
pfam04280	mitochondrial import inner membrane translocase subunit TIM44
cd15904	TspO/MBR family protein
COG0699	dynamin-like GTPase family protein
cd12337	splicing factor SR family protein
cl16307	DUF4132 domain-containing protein
cd06365	vomeronasal type-2 receptor
cd02801	tRNA-dihydrouridine(16/17) synthase [NAD(P)(+)]-like
pfam05076	suppressor of fused domain protein
cd05751	leukocyte immunoglobulin-like receptor family protein
CHL00061	ATP synthase F0 subunit C
pfam05186	Dpy-30 domain-containing protein
cl02556	bromodomain-containing protein
PLN02894	alpha/beta hydrolase
PRK05269	transaldolase
PRK12468	flagellar biosynthesis protein FlhB
pfam02593	DUF166 domain-containing protein
cl02475	LIM domain-containing protein
smart00115	caspase family protein
cd04149	ADP-ribosylation factor family protein
PRK09358	adenosine deaminase family protein
MTH00132	ATP synthase F0 subunit 6
CHL00024	photosystem II reaction center protein I
cd07598	BAR domain-containing protein
PRK10557	prepilin peptidase-dependent protein
COG1782	beta-CASP ribonuclease aCPSF1
pfam09240	fibronectin type III domain-containing protein
pfam12638	staygreen family protein
PRK00877	histidinol dehydrogenase
COG0169	pentafunctional AROM polypeptide
PRK11593	dihydroneopterin aldolase
PRK11443	DUF2799 domain-containing protein
pfam14071	YlbD family protein
PRK01821	CidA/LrgA family protein
PRK01271	tautomerase PptA
cd17313	SLC45 family MFS transporter
pfam12400	STIMATE family protein
PRK07586	acetolactate synthase large subunit
TIGR00283	peptidyl-tRNA hydrolase 2
cd00058	fibroblast growth factor
cd05331	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase
pfam06610	L-alanine exporter AlaE
pfam03358	NADPH-dependent oxidoreductase
TIGR01425	signal recognition particle protein Srp54
TIGR02189	glutaredoxin
MTH00023	cytochrome c oxidase subunit II
pfam05099	molecular chaperone DjiA
COG0446	NADH:flavorubredoxin oxidoreductase
cd01889	selenocysteine-specific elongation factor
smart00256	F-box/WD40 repeat-containing protein
cd01083	polysaccharide lyase 8 family protein
PRK10683	putrescine ABC transporter permease PotH
cd00625	anion permease
COG4137	inner membrane protein YpjD
cd03261	ABC transporter ATP-binding protein
cd01347	TonB-dependent receptor
PRK13565	anthranilate synthase component I
cd00768	class-II aminoacyl-tRNA synthetase family protein
cd05537	DNA polymerase II
cd04190	chitin synthase
pfam17242	DUF5315 domain-containing protein
PRK11578	macrolide transporter subunit MacA
PRK00509	argininosuccinate synthase
TIGR03300	outer membrane protein assembly factor BamB
cd18295	ankyrin repeat and BTB/POZ domain-containing protein 1
pfam04167	DUF402 domain-containing protein
cl03356	DcrB/PsbP domain-containing protein
pfam07905	PucR family transcriptional regulator
pfam03479	PPC domain-containing DNA-binding protein
PRK00811	spermidine synthase
cd17327	allantoate permease family MFS transporter
pfam08499	calcium/calmodulin-dependent 3 ,5 -cyclic nucleotide phosphodiesterase 1
PRK14991	tetrathionate reductase subunit A
cd01583	3-isopropylmalate dehydratase
PRK00253	flagellar hook-basal body complex protein FliE
cd09881	type II toxin-antitoxin system VapC family toxin
COG2002	AbrB/MazE/SpoVT family DNA-binding domain-containing protein
COG4539	DUF962 domain-containing protein
cd02081	plasma membrane calcium-transporting ATPase
PRK10466	HyaD/HybD family hydrogenase maturation endopeptidase
cd14809	bZIP transcription factor
pfam15391	DUF4614 domain-containing protein
pfam10287	TOS1-like glycoside hydrolase
pfam01218	coproporphyrinogen III oxidase
PRK10858	P-II family nitrogen regulator
pfam11112	pyocin activator PrtN family protein
PRK13279	4-amino-4-deoxy-L-arabinose lipid A transferase
pfam07679	immunoglobulin domain-containing protein
PRK14093	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
PRK00566	DNA-directed RNA polymerase subunit beta 
COG4608	ABC transporter ATP-binding protein
cd02000	alpha-ketoacid dehydrogenase subunit alpha/beta
pfam11007	spore coat associated protein CotJA
cd06627	serine/threonine-protein kinase
COG0767	ABC transporter permease
pfam02289	methenyltetrahydromethanopterin cyclohydrolase
COG3678	Spy/CpxP family protein refolding chaperone
pfam02623	flagellar assembly protein FliW
COG1024	enoyl-CoA hydratase
pfam00582	universal stress protein
COG0650	respiratory chain complex I subunit 1 family protein
pfam17437	DUF5416 domain-containing protein
smart00271	J domain-containing protein
pfam01906	YbjQ family protein
pfam03181	BURP domain-containing protein
PRK11633	TfoX/Sxy family protein
pfam14873	sialidase family protein
cd19131	aldo/keto reductase
TIGR00931	Na+/H+ antiporter NhaC family protein
PLN02252	electron transport protein
cd22030	SOX family transcription factor
PRK15193	fimbrial biogenesis outer membrane usher protein
COG2070	nitronate monooxygenase family protein
cd04275	zinc metalloprotease
pfam17259	YlaF family protein
cd06620	Byr1/STE7 family mitogen-activated protein kinase kinase
COG1136	ABC transporter ATP-binding protein
pfam14369	probable E3 ubiquitin-protein ligase
pfam12409	cation-transporting P-type ATPase
cd08940	3-hydroxybutyrate dehydrogenase
PRK13774	formimidoylglutamase
pfam02681	divergent PAP2 family protein
cl35144	phosphoribosylformylglycinamidine synthase subunit PurL family protein
COG0429	CPBP family intramembrane metalloprotease
COG5111	RPC34 RNA polymerase subunit family protein
cl00681	flagellar basal body-associated FliL family protein
PRK15471	LPS O-antigen chain length determinant protein WzzB
COG2513	methylisocitrate lyase
cd01802	phosphatidylinositol 4-kinase gamma
pfam07810	transmembrane channel-like protein
cd18250	kelch-like protein 21
PRK14112	urease accessory protein UreE
smart00907	GDNF family receptor alpha
cd03469	ring-hydroxylating oxygenase subunit alpha
cd16894	lytic transglycosylase domain-containing protein
PRK10440	iron-enterobactin ABC transporter permease
TIGR03249	5-dehydro-4-deoxyglucarate dehydratase
